RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
41,"Auburn
   (H) 87 Mississippi",SEC,28,15-13,"125.3
14","106.2
111",".8711
41","52.0
148","53.5
278","14.4
31","16.6
185","38.7
5","32.2
265","45.9
5","34.6
165","53.1
122","52.1
196","33.6
201","37.0
336","38.4
203","40.5
217","67.4
185","+0.7
46"
42,"Texas
   (A) 34 Texas A&M",SEC,28,17-11,"127.2
6","107.8
148",".8703
42","55.1
42","51.1
160","15.3
76","13.9
338","37.2
16","27.4
47","47.2
2","40.2
296","56.6
43","49.5
83","35.0
115","36.0
295","36.4
239","34.1
30","66.7
225","+0.43
50"
43,"Miami FL
   (H) 133 Boston College",ACC,28,22-6,"120.2
44","101.9
48",".8697
43","55.9
30","51.0
155","16.3
145","18.3
93","37.6
14","25.4
14","37.7
115","29.6
50","58.1
22","49.5
83","34.0
176","35.5
264","31.7
333","40.6
221","68.5
124","+2.8
30"
44,"Georgia
   (H) 100 South Carolina",SEC,28,19-9,"123.5
23","104.8
94",".8678
44","54.0
66","49.7
92","14.2
28","18.7
72","35.7
31","35.6
345","37.6
119","30.7
71","57.4
32","49.7
90","33.1
229","33.2
135","43.1
103","36.7
90","72.2
10","+1.9
36"
45,"Washington
   (H) 27 Wisconsin",B10,28,14-14,"117.2
63","101.1
41",".8449
45","51.3
179","49.5
85","15.7
107","14.7
313","34.3
63","28.5
83","31.0
284","32.7
118","53.0
126","50.0
105","31.9
285","32.5
93","33.8
301","37.3
110","66.8
219","-2.4
77"
46,"New Mexico
   (H) 38 San Diego St.",MWC,28,21-7,"116.2
69","100.4
33",".8430
46","54.0
66","48.6
56","15.6
98","19.3
44","28.9
236","27.9
67","35.7
168","32.1
103","53.7
95","52.4
214","36.2
53","29.6
11","42.4
127","47.8
357","69.9
58","+0.7
47"
47,"Missouri
   (A) 88 Mississippi St.",SEC,28,19-9,"120.3
43","104.0
77",".8418
47","55.5
35","50.5
126","17.6
238","16.2
211","35.6
33","31.7
234","43.1
23","35.0
176","57.2
37","47.4
38","35.0
115","36.2
303","36.4
239","44.1
319","66.5
233","+1.9
35"
48,"UCF
   (H) 50 Baylor",B12,27,20-7,"122.2
31","105.7
106",".8411
48","54.4
58","52.5
233","16.3
145","16.1
222","34.9
49","27.8
64","29.8
312","33.6
139","52.8
133","54.0
277","38.3
13","33.4
145","35.2
269","40.1
201","69.2
92","+3.5
25"
49,"Minnesota
   (H) 39 UCLA",B10,28,13-15,"115.5
80","101.1
40",".8229
49","53.9
70","51.0
155","16.6
159","17.5
130","28.0
266","29.2
116","37.4
126","28.2
30","56.1
48","51.1
150","34.3
156","33.9
174","47.8
26","41.5
255","63.0
357","-3.8
97"
50,"Baylor
   (A) 48 UCF",B12,28,14-14,"121.2
36","106.4
115",".8164
50","53.7
76","51.5
190","16.6
159","15.9
238","36.6
19","32.2
265","36.1
159","30.2
61","54.7
69","51.1
150","34.7
131","34.8
228","39.6
179","34.6
40","68.0
147","-2.3
76"
